mnemonic,family,profile,eew_bits,width,mop,nf,lumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vloxseg5ei8.v,Segment indexed ordered,Zve32x/Zve64x base,8,0b000,0b11,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg6ei16.v,Segment indexed ordered,Zve32x/Zve64x base,16,0b101,0b11,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg6ei32.v,Segment indexed ordered,Zve32x/Zve64x base,32,0b110,0b11,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg6ei64.v,Segment indexed ordered,RV32 V 제외 (EEW=64 index),64,0b111,0b11,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg6ei8.v,Segment indexed ordered,Zve32x/Zve64x base,8,0b000,0b11,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg7ei16.v,Segment indexed ordered,Zve32x/Zve64x base,16,0b101,0b11,0b110,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg7ei32.v,Segment indexed ordered,Zve32x/Zve64x base,32,0b110,0b11,0b110,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg7ei64.v,Segment indexed ordered,RV32 V 제외 (EEW=64 index),64,0b111,0b11,0b110,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg7ei8.v,Segment indexed ordered,Zve32x/Zve64x base,8,0b000,0b11,0b110,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg8ei16.v,Segment indexed ordered,Zve32x/Zve64x base,16,0b101,0b11,0b111,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg8ei32.v,Segment indexed ordered,Zve32x/Zve64x base,32,0b110,0b11,0b111,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg8ei64.v,Segment indexed ordered,RV32 V 제외 (EEW=64 index),64,0b111,0b11,0b111,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg8ei8.v,Segment indexed ordered,Zve32x/Zve64x base,8,0b000,0b11,0b111,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg2ei16.v,Segment indexed unordered,Zve32x/Zve64x base,16,0b101,0b01,0b001,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg2ei32.v,Segment indexed unordered,Zve32x/Zve64x base,32,0b110,0b01,0b001,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg2ei64.v,Segment indexed unordered,RV32 V 제외 (EEW=64 index),64,0b111,0b01,0b001,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg2ei8.v,Segment indexed unordered,Zve32x/Zve64x base,8,0b000,0b01,0b001,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg3ei16.v,Segment indexed unordered,Zve32x/Zve64x base,16,0b101,0b01,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
